상품명,스팩목록,가격
다이슨 펜슬백 플러피콘,"핸디스틱청소기/무선/흡입+물걸레(동시)/흡입력: 220W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지비움시간: 30초/먼지봉투: 2.5L/싸이클론흡입/자동물공급/스마트인버터모터/[배터리] 사용시간: 1시간(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 틈새브러쉬/물걸레: 포함/[색상/크기] 색상: 카밍베이지/무게: 2.47kg/크기(가로x세로x깊이): 250x1120x260mm",849000
삼성전자 비스포크 제트 AI Lite VS28D950AIB,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/싸이클론흡입/먼지필터/[배터리] 사용시간: 20분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 미니브러쉬/[색상/크기] 색상: 니켈/무게: 1.5kg/크기(가로x세로x깊이): 225x1103x207mm",299900
LG전자 코드제로 A5 AS527HA,"핸디스틱청소기/무선/흡입전용/스테이션: 충전, 스탠드거치/싸이클론흡입/먼지필터/[배터리] 사용시간: 20분(최대)/분리형(1개)/[흡입구] 일반/추가브러쉬: 솔형브러쉬, 미니브러쉬/[색상/크기] 색상: 니켈/무게: 1.5kg/크기(가로x세로x깊이): 225x1103x207mm",761210
아이닉 i50 아이타워,"핸디스틱청소기/무선/흡입전용/흡입력: 151W/스테이션: 충전, 벽걸이거치/싸이클론흡입/디지털모터/헤파필터/[배터리] 사용시간: 1시간(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 레드/무게: 2.5kg/크기(가로x세로x깊이): 242x1238x250mm",685354
로보락 H60 Hub Ultra,"핸디스틱청소기/무선/흡입전용/흡입력: 151W/스테이션: 충전, 벽걸이거치/싸이클론흡입/디지털모터/헤파필터/[배터리] 사용시간: 1시간(최대)/리튬이온/[흡입구] 일반/추가브러쉬: 펫브러쉬, 솔형브러쉬, 틈새브러쉬/[색상/크기] 색상: 레드/무게: 2.5kg/크기(가로x세로x깊이): 242x1238x250mm",447354
일렉트로룩스 WELL Q6 WQ61-1EDB,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 520W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지봉투: 3L/LED라이트/싸이클론흡입/BLDC모터/헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬, 연장관/물걸레: 별매/[색상/크기] 색상: 알리숨화이트/무게: 2.4kg/크기(가로x세로x깊이): 170x870x170mm",261500
삼성전자 비스포크 제트 AI Lite VS28D950ACA,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 520W/스테이션: 먼지비움, 충전, 액서서리수납, 스탠드거치/먼지봉투: 3L/LED라이트/싸이클론흡입/BLDC모터/헤파필터/[배터리] 사용시간: 30분(최대)/분리형(1개)/리튬이온/[흡입구] 전방향회전/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 카펫브러쉬, 연장관/물걸레: 별매/[색상/크기] 색상: 알리숨화이트/무게: 2.4kg/크기(가로x세로x깊이): 170x870x170mm",318000
샤크닌자 샤크 에보파워 EX WV270KR,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/먼지감지센서/BLDC모터/헤파필터/[배터리] 사용시간: 35분(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬, 각도조절툴/[색상/크기] 색상: 미스틱화이트/무게: 1.7kg/원터치핸디/플렉스기능/크기(가로x세로x깊이): 228x1040x160mm",399000
LG전자 오브제컬렉션 코드제로 A7 Core AS720WA,"핸디스틱청소기/무선/흡입전용/스테이션: 먼지비움, 충전, 스탠드거치, 액서서리&배터리거치/AI청소/먼지감지센서/BLDC모터/헤파필터/[배터리] 사용시간: 35분(최대)/분리형(2개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 펫브러쉬, 틈새브러쉬, 각도조절툴/[색상/크기] 색상: 미스틱화이트/무게: 1.7kg/원터치핸디/플렉스기능/크기(가로x세로x깊이): 228x1040x160mm",176500
LG전자 오브제컬렉션 코드제로 A9 AI AI937WA,"핸디스틱청소기/무선/흡입+물걸레(교체)/흡입력: 400W/스테이션: 싸이클론비움, 충전, UVC LED, 스탠드거치, 액서서리&배터리거치/먼지비움시간: 14초/먼지봉투: 1.2L/AI청소/LED라이트/싸이클론흡입/먼지감지센서/물분사/디지털인버터모터/워셔블먼지필터/[배터리] 사용시간: 1시간40분(최대)/분리형(1개)/리튬이온/[흡입구] 일반/추가브러쉬: 침구브러쉬, 솔형브러쉬, 틈새브러쉬, 각도조절툴/물걸레: 포함/고온/[색상/크기] 색상: 새틴그레이지/무게: 2.5kg/크기(가로x세로x깊이): 250x970x243mm",651950
